route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
265-13167,DEC22-D09CAR-3_Sunday,70265000161652-DEC22,,1,2650200,2650016_DEC22,57079205-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151523-DEC22,,0,2650200,2650015_DEC22,57079206-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161249-DEC22,,1,2650300,2650016_DEC22,57079207-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151121-DEC22,,0,2650300,2650015_DEC22,57079208-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000150923-DEC22,,0,2650200,2650015_DEC22,57079209-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151022-DEC22,,0,2650100,2650015_DEC22,57079210-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151221-DEC22,,0,2650200,2650015_DEC22,57079211-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000160851-DEC22,,1,2650100,2650016_DEC22,57079212-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000160951-DEC22,,1,2650300,2650016_DEC22,57079213-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161050-DEC22,,1,2650200,2650016_DEC22,57079214-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161149-DEC22,,1,2650100,2650016_DEC22,57079215-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151623-DEC22,,0,2650100,2650015_DEC22,57079216-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151421-DEC22,,0,2650300,2650015_DEC22,57079217-DEC22-D09CAR-3_Sunday
344-13167,DEC22-D18CAR-2_Saturday,60344000480555-DEC22,,1,3440200,3440048_DEC22,57082681-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481735-DEC22,,1,3440200,3440048_DEC22,57082682-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481635-DEC22,,1,3440100,3440048_DEC22,57082683-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481535-DEC22,,1,3440300,3440048_DEC22,57082684-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481435-DEC22,,1,3440200,3440048_DEC22,57082685-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481235-DEC22,,1,3440300,3440048_DEC22,57082686-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481035-DEC22,,1,3440100,3440048_DEC22,57082687-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000480835-DEC22,,1,3440200,3440048_DEC22,57082688-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000480735-DEC22,,1,3440100,3440048_DEC22,57082689-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000480635-DEC22,,1,3440300,3440048_DEC22,57082690-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000470903-DEC22,,0,3440100,3440047_DEC22,57082691-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481835-DEC22,,1,2460300,3440048_DEC22,57082692-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481935-DEC22,,1,3440100,3440048_DEC22,57082693-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000470807-DEC22,,0,3440300,3440047_DEC22,57082694-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471001-DEC22,,0,3440200,3440047_DEC22,57082695-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471100-DEC22,,0,3440300,3440047_DEC22,57082696-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000470611-DEC22,,0,2460200,3440047_DEC22,57082697-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471155-DEC22,,0,3440100,3440047_DEC22,57082698-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471800-DEC22,,0,3440100,3440047_DEC22,57082699-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471657-DEC22,,0,3440300,3440047_DEC22,57082700-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471357-DEC22,,0,3440300,3440047_DEC22,57082701-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471255-DEC22,,0,3440200,3440047_DEC22,57082702-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471943-DEC22,,0,2460300,3440047_DEC22,57082703-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471557-DEC22,,0,3440200,3440047_DEC22,57082704-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481335-DEC22,,1,3440100,3440048_DEC22,57082705-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000481135-DEC22,,1,3440200,3440048_DEC22,57082706-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000480935-DEC22,,1,3440300,3440048_DEC22,57082707-DEC22-D18CAR-2_Saturday
